school,test,college,subject,style,direction,Remarks,polite,language,math,project
(10287)南京航空航天大学,统考,(004)电子信息工程学院/集成电路学院,(085400)(专业学位)电子信息,非全日制,(F7)电磁场与微波技术（非全）,备注：,(101)思想政治理论,(201)英语（一）,(302)数学（二）,(878)数字电路和信号与系统
(10287)南京航空航天大学,统考,(015)航天学院,(085400)(专业学位)电子信息,全日制,(01)航天光电信息,备注：,(101)思想政治理论,(201)英语（一）,(302)数学（二）,(811)普通物理
(10287)南京航空航天大学,统考,(004)电子信息工程学院/集成电路学院,(085400)(专业学位)电子信息,非全日制,(F9)集成电路设计（非全）,备注：,(101)思想政治理论,(201)英语（一）,(302)数学（二）,(878)数字电路和信号与系统
(10287)南京航空航天大学,统考,(004)电子信息工程学院/集成电路学院,(085400)(专业学位)电子信息,非全日制,(F5)图像与视频处理（非全）,备注：,(101)思想政治理论,(201)英语（一）,(302)数学（二）,(878)数字电路和信号与系统
(10287)南京航空航天大学,统考,(004)电子信息工程学院/集成电路学院,(085400)(专业学位)电子信息,非全日制,(F4)雷达探测成像技术（非全）,备注：,(101)思想政治理论,(201)英语（一）,(302)数学（二）,(878)数字电路和信号与系统
(10287)南京航空航天大学,统考,(004)电子信息工程学院/集成电路学院,(085400)(专业学位)电子信息,非全日制,(F6)电路与系统设计（非全）,备注：,(101)思想政治理论,(201)英语（一）,(302)数学（二）,(878)数字电路和信号与系统
(10287)南京航空航天大学,统考,(004)电子信息工程学院/集成电路学院,(085400)(专业学位)电子信息,非全日制,(F3)电磁频谱认知技术（非全）,备注：,(101)思想政治理论,(201)英语（一）,(302)数学（二）,(878)数字电路和信号与系统
(10287)南京航空航天大学,统考,(004)电子信息工程学院/集成电路学院,(085400)(专业学位)电子信息,非全日制,(F1)通信与网络技术（非全）,备注：,(101)思想政治理论,(201)英语（一）,(302)数学（二）,(878)数字电路和信号与系统
(10287)南京航空航天大学,统考,(004)电子信息工程学院/集成电路学院,(085400)(专业学位)电子信息,非全日制,(F2)信号与信息处理（非全）,备注：,(101)思想政治理论,(201)英语（一）,(302)数学（二）,(878)数字电路和信号与系统
(10287)南京航空航天大学,统考,(004)电子信息工程学院/集成电路学院,(085400)(专业学位)电子信息,全日制,(07)电磁场与微波技术,备注：,(101)思想政治理论,(201)英语（一）,(302)数学（二）,(878)数字电路和信号与系统
(10287)南京航空航天大学,统考,(004)电子信息工程学院/集成电路学院,(085400)(专业学位)电子信息,全日制,(08)微波光子技术,备注：,(101)思想政治理论,(201)英语（一）,(302)数学（二）,(878)数字电路和信号与系统
(10287)南京航空航天大学,统考,(004)电子信息工程学院/集成电路学院,(085400)(专业学位)电子信息,全日制,(09)集成电路设计,备注：,(101)思想政治理论,(201)英语（一）,(302)数学（二）,(878)数字电路和信号与系统
(10287)南京航空航天大学,统考,(004)电子信息工程学院/集成电路学院,(085400)(专业学位)电子信息,全日制,(06)电路与系统设计,备注：,(101)思想政治理论,(201)英语（一）,(302)数学（二）,(878)数字电路和信号与系统
(10287)南京航空航天大学,统考,(004)电子信息工程学院/集成电路学院,(085400)(专业学位)电子信息,全日制,(02)信号与信息处理,备注：,(101)思想政治理论,(201)英语（一）,(302)数学（二）,(878)数字电路和信号与系统
(10287)南京航空航天大学,统考,(004)电子信息工程学院/集成电路学院,(085400)(专业学位)电子信息,全日制,(03)电磁频谱认知技术,备注：,(101)思想政治理论,(201)英语（一）,(302)数学（二）,(878)数字电路和信号与系统
(10287)南京航空航天大学,统考,(004)电子信息工程学院/集成电路学院,(085400)(专业学位)电子信息,全日制,(04)雷达探测成像技术,备注：,(101)思想政治理论,(201)英语（一）,(302)数学（二）,(878)数字电路和信号与系统
(10287)南京航空航天大学,统考,(003)自动化学院,(085400)(专业学位)电子信息,非全日制,(F1)控制工程（非全）,备注：,(101)思想政治理论,(201)英语（一）,(302)数学（二）,(820)自动控制原理
(10287)南京航空航天大学,统考,(004)电子信息工程学院/集成电路学院,(085400)(专业学位)电子信息,全日制,(01)通信与网络技术,备注：,(101)思想政治理论,(201)英语（一）,(302)数学（二）,(878)数字电路和信号与系统
(10287)南京航空航天大学,统考,(003)自动化学院,(085400)(专业学位)电子信息,全日制,(03)生物医学工程,备注：,(101)思想政治理论,(201)英语（一）,(302)数学（二）,(877)医学生物化学
(10287)南京航空航天大学,统考,(003)自动化学院,(085400)(专业学位)电子信息,全日制,(02)仪器仪表工程,备注：,(101)思想政治理论,(201)英语（一）,(302)数学（二）,(833)模拟电路
(10287)南京航空航天大学,统考,(003)自动化学院,(085400)(专业学位)电子信息,非全日制,(F3)生物医学工程（非全）,备注：,(101)思想政治理论,(201)英语（一）,(302)数学（二）,(877)医学生物化学
(10287)南京航空航天大学,统考,(003)自动化学院,(085400)(专业学位)电子信息,非全日制,(F2)仪器仪表工程（非全）,备注：,(101)思想政治理论,(201)英语（一）,(302)数学（二）,(833)模拟电路
(10287)南京航空航天大学,统考,(004)电子信息工程学院/集成电路学院,(085400)(专业学位)电子信息,全日制,(05)图像与视频处理,备注：,(101)思想政治理论,(201)英语（一）,(302)数学（二）,(878)数字电路和信号与系统
(10290)中国矿业大学,统考,(081)人工智能研究院,(085410)(专业学位)人工智能,全日制,(00)不区分研究方向,不招同等学力,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(868)自动控制原理
(10290)中国矿业大学,统考,(017)计算机科学与技术学院,(085411)(专业学位)大数据技术与工程,全日制,(00)不区分研究方向,不招同等学力,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(408)计算机学科专业基础
(10290)中国矿业大学,统考,(018)材料与物理学院,(085408)(专业学位)光电信息工程,全日制,(00)不区分研究方向,不招同等学力,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(858)普通物理
(10290)中国矿业大学,统考,(017)计算机科学与技术学院,(085412)(专业学位)网络与信息安全,全日制,(00)不区分研究方向,不招同等学力,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(408)计算机学科专业基础
(10287)南京航空航天大学,统考,(003)自动化学院,(085400)(专业学位)电子信息,全日制,(01)控制工程,备注：,(101)思想政治理论,(201)英语（一）,(302)数学（二）,(820)自动控制原理
(10290)中国矿业大学,统考,(017)计算机科学与技术学院,(085405)(专业学位)软件工程,非全日制,(00)不区分研究方向,不招同等学力,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(408)计算机学科专业基础
(10290)中国矿业大学,统考,(017)计算机科学与技术学院,(085405)(专业学位)软件工程,全日制,(00)不区分研究方向,不招同等学力,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(408)计算机学科专业基础
(10290)中国矿业大学,统考,(017)计算机科学与技术学院,(085404)(专业学位)计算机技术,非全日制,(00)不区分研究方向,不招同等学力,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(408)计算机学科专业基础
(10290)中国矿业大学,统考,(017)计算机科学与技术学院,(085404)(专业学位)计算机技术,全日制,(00)不区分研究方向,不招同等学力,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(408)计算机学科专业基础
(10290)中国矿业大学,统考,(008)数学学院,(085411)(专业学位)大数据技术与工程,全日制,(00)不区分研究方向,不招同等学力,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(408)计算机学科专业基础
(10290)中国矿业大学,统考,(006)信息与控制工程学院,(085406)(专业学位)控制工程,全日制,(00)不区分研究方向,不招同等学力,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(868)自动控制原理
(10290)中国矿业大学,统考,(006)信息与控制工程学院,(085402)(专业学位)通信工程（含宽带网络、移动通信等）,全日制,(00)不区分研究方向,不招同等学力,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(824)专业基础综合（信号与系统、通信原理）
(10285)苏州大学,统考,(018)计算机科学与技术学院,(085411)(专业学位)大数据技术与工程,全日制,(01)大数据技术与工程,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(872)数据结构与操作系统
(10285)苏州大学,统考,(026)光电科学与工程学院,(085406)(专业学位)控制工程,全日制,(01)控制工程,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(842)自动控制原理
(10290)中国矿业大学,统考,(006)信息与控制工程学院,(085401)(专业学位)新一代电子信息技术（含量子技术等）,全日制,(00)不区分研究方向,不招同等学力,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(824)专业基础综合（信号与系统、通信原理）
(10285)苏州大学,统考,(026)光电科学与工程学院,(085408)(专业学位)光电信息工程,全日制,(01)光电信息工程,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(841)应用光学
