symbol,name,current,chg,first_percent,current_year_percent,volume,amount,turnover_rate,pe_ttm,dividend_yield,market_capital
SZ300008,天海防务,5.06,-0.09,82.77,28.75,71363050,361378305.0,4.99,60.588,0.0,8743827413.0
SZ002038,双鹭药业,9.53,-0.17,10.08,17.12,13989602,133991596.27,1.64,26.246,1.049,9790645500.0
SZ300314,戴维医疗,17.43,-0.31,49.5,35.29,4655582,82188327.98,2.46,36.373,0.861,5019840000.0
SH600212,绿能慧充,8.43,-0.15,103.83,8.22,7641100,64533974.0,1.49,,0.0,4313607506.0
SZ002971,和远气体,25.2,-0.45,43.99,39.3,1806200,45649790.0,1.45,50.43,0.0,4032000000.0
SH603357,设计总院,10.68,-0.19,43.97,47.14,12382194,132505725.0,2.27,13.165,4.139,5991217753.0
SZ300761,立华股份,19.53,-0.35,43.99,5.0,1669491,32827176.93,0.28,23.861,2.273,16163897105.0
SZ002569,ST步森,5.57,-0.1,62.86,-13.78,535521,2994764.76,0.38,,0.0,802135700.0
SZ002977,天箭科技,32.44,-0.58,44.0,6.65,1483468,48143203.96,2.27,55.723,0.515,3896692800.0
SH603238,诺邦股份,12.84,-0.23,44.03,6.58,1594470,20545918.0,0.9,56.844,0.779,2298205920.0
SH688066,航天宏图,60.27,-1.08,175.94,-1.16,3038581,183584900.0,1.17,69.764,0.154,15666996047.0
SH688029,南微医学,78.45,-1.41,110.7,-3.85,2230337,176742248.0,1.21,37.912,0.701,14736630256.0
SH603321,梅轮电梯,7.77,-0.14,43.99,14.83,2282400,17756286.0,0.74,44.771,1.287,2385390000.0
SZ300571,平治信息,32.77,-0.59,44.02,17.04,1852078,60759404.56,1.6,171.154,0.0,4572342194.0
SH603879,永悦科技,8.86,-0.16,44.0,45.96,13037509,117125859.0,3.63,,0.0,3195996388.0
SH600585,海螺水泥,26.66,-0.48,57.8,3.18,29322836,785372341.0,0.73,10.633,5.551,141279406756.0
SH605186,健麾信息,40.46,-0.73,44.01,34.42,2706120,109045226.0,4.06,46.407,0.222,5502560000.0
SH600030,中信证券,23.67,-0.43,11.33,18.88,273839909,6526470476.0,2.41,16.312,2.07,350802343442.0
SZ300169,天晟新材,6.64,-0.12,26.25,60.77,129719029,936855198.81,42.99,,0.0,2164536018.0
SH603949,雪龙集团,16.0,-0.29,44.0,-9.53,1354000,21810043.0,0.65,78.191,1.875,3376478416.0
SZ301281,科源制药,27.54,-0.5,-12.29,-11.86,2214695,61290494.29,8.62,31.092,1.038,2982306600.0
SZ002862,实丰文化,18.18,-0.33,43.96,23.93,1465800,26610339.0,1.63,,0.0,2181600000.0
SZ300967,晓鸣股份,15.97,-0.29,581.72,-7.15,2755323,44077622.77,2.64,,0.0,3026292818.0
SZ002884,凌霄泵业,16.57,-0.3,44.01,6.5,811909,13509523.66,0.3,15.453,6.035,5926799174.0
SZ002984,森麒麟,34.08,-0.62,43.99,10.69,4161261,142337071.45,1.43,27.069,0.0,22140809082.0
SH600685,中船防务,26.84,-0.49,27.92,29.34,8596804,231986912.0,1.05,56.285,0.037,37938511186.0
SH603073,彩蝶实业,19.75,-0.36,43.98,1.07,2285591,45243476.0,7.88,21.553,1.519,2291000000.0
SH600391,航发科技,22.47,-0.41,259.57,26.45,6978058,156936289.0,2.11,122.795,0.0,7418006876.0
SZ000595,宝塔实业,5.48,-0.1,114.46,-18.45,17631600,96673962.0,1.55,,0.0,6239836886.0
SZ002780,三夫户外,13.73,-0.25,43.95,0.66,3095790,42871435.3,2.37,,0.0,2163676183.0
SZ300270,中威电子,7.63,-0.14,27.43,44.23,7191400,55181641.0,3.22,424.411,0.0,2310409994.0
SZ002265,建设工业,13.65,-0.25,99.65,0.37,5095911,69755544.56,1.6,50.337,0.0,14101001556.0
SZ000333,美的集团,58.25,-1.07,-5.21,18.21,20418627,1197877268.87,0.3,13.449,4.292,409088873396.0
SH688287,观典防务,10.89,-0.2,-23.63,10.57,3647134,39827092.0,0.98,45.024,0.459,4034914884.0
SZ301126,达嘉维康,13.55,-0.25,91.59,-8.81,3235543,43939402.12,2.99,59.053,0.214,2798152235.0
SZ001368,通达创智,24.94,-0.46,44.01,0.04,1705993,42671989.87,6.09,21.664,0.802,2793280000.0
SZ001338,永顺泰,17.9,-0.33,43.99,-14.97,6617484,118476657.54,5.28,49.907,0.335,8980981929.0
SZ300244,迪安诊断,23.87,-0.44,78.51,-4.3,4432581,106552584.64,0.88,17.798,0.838,14964056119.0
SZ301121,紫建电子,45.12,-0.83,45.36,-12.3,756981,34238437.36,4.28,187.034,0.222,3194639662.0
SZ301059,金三江,13.52,-0.25,267.12,40.29,1468180,19899382.1,2.24,46.889,1.169,3125202080.0
SZ002806,华锋股份,11.85,-0.22,44.03,16.52,6279500,74273218.0,4.21,,0.0,2244405583.0
SZ003001,中岩大地,17.23,-0.32,44.0,17.5,2265830,39135295.7,4.59,,0.882,2193904119.0
SH603520,司太立,16.12,-0.3,44.03,-16.61,5435675,88234895.0,1.59,,1.241,5521333756.0
SZ300599,雄塑科技,8.56,-0.16,44.03,16.94,2938400,25321584.0,1.42,489.659,0.0,3065606214.0
SZ300877,金春股份,17.72,-0.33,92.53,10.54,2820989,50340077.19,4.97,,0.0,2126400000.0
SH603950,长源东谷,13.91,-0.26,44.02,22.48,2394420,33405980.0,0.74,40.416,0.0,4508659428.0
SH600858,银座股份,6.44,-0.12,-95.71,-0.46,8694200,56150942.0,1.68,156.994,0.0,3349228833.0
SZ001282,三联锻造,30.11,-0.56,7.95,7.81,1832665,55493740.26,6.59,35.263,,3413269600.0
SH688280,精进电动-UW,8.56,-0.16,28.45,8.35,2984267,25739021.0,0.66,,0.0,5052297470.0
SZ002927,泰永长征,12.28,-0.23,43.98,22.46,3095100,38046211.0,1.4,39.542,0.977,2741089901.0
SH603345,安井食品,151.37,-2.83,43.97,-5.82,2513800,384100009.0,0.86,32.106,0.745,44395947898.0
SZ301291,明阳电气,31.56,-0.59,-14.5,-17.23,3912782,124143990.64,5.76,33.264,,9853032000.0
SZ002818,富森美,15.49,-0.29,44.02,33.51,9144652,141840166.8,3.06,14.843,6.972,11593628981.0
SZ301448,开创电气,29.27,-0.55,119.67,61.27,1622600,47518433.0,8.11,39.561,,2341600000.0
SH600386,北巴传媒,4.27,-0.08,46.37,7.56,12085400,51726150.0,1.5,47.675,1.874,3443328000.0
SH601012,隆基绿能,29.3,-0.55,-5.95,-29.72,118055701,3477943851.0,1.56,14.072,1.365,222135083845.0
SZ002634,棒杰股份,7.96,-0.15,24.97,-19.02,5766300,46142600.0,1.51,57.95,0.0,3742613003.0
SZ300848,美瑞新材,21.18,-0.4,44.0,20.5,2161300,45504837.0,1.2,56.562,0.316,6354317700.0
SZ301203,国泰环保,40.83,-0.77,-12.88,-7.84,2442687,98776250.78,14.31,21.145,3.674,3266400000.0
SH600738,丽尚国潮,5.82,-0.11,176.28,-19.17,14310685,84227758.0,1.88,,1.22,4430971074.0
SZ002383,合众思壮,6.89,-0.13,147.3,5.67,11846779,81765684.91,1.93,,0.0,5101082501.0
SZ300334,津膜科技,7.96,-0.15,92.37,27.16,3906564,31201109.8,1.29,,0.0,2404440234.0
SZ301115,建科股份,23.92,-0.45,-19.62,-2.22,1942421,46757038.65,4.76,30.466,2.88,4434409200.0
